filename,exists,size_bytes,english_variant,english_variant_exists,japanese_variant,japanese_variant_exists,status,english_ocr_sample
agent-guardrails-layers-en.webp,True,339998,agent-guardrails-layers-en.webp,True,agent-guardrails-layers-en-ja.webp,False,localized_variant,"— = Layer Guordraiinterception A put al, and output efend together | ‘a dis. | OS a) A ee >” __ | AS inl = ‘a (=e il ag A ee ae sf I 1. = |e (48 ae] JO ~~ | aH ; | (¢ moat)"
agent-guardrails-layers-ja.webp,True,337590,agent-guardrails-layers-ja-en.webp,False,agent-guardrails-layers-ja.webp,True,localized_variant,¢ _ AAA 1L0 BO BATHS » a Gg -?. y } ry ie 0S) ae Og = wi / _ = ri N 1g) ee (ay = ’ a oe i aes | we Mii = A oe |) eile \me 7 ae Sa es | fi@ 2 eal A ie we 7] (emma
agent-memory-system-en.webp,True,263464,agent-memory-system-en.webp,True,agent-memory-system-en-ja.webp,False,localized_variant,Agent Memory System (=) Short-Term ied Context - “= ~ Active working context t AGENT bea Knowledge | a | aa ED User e | ay Preferences (i) Episode Ox yes): — \d) Procedural = Liebl> Ll m Q Retrieval j VJ LL | Find what's relevant and bring
agent-memory-system-ja.webp,True,318542,agent-memory-system-ja-en.webp,False,agent-memory-system-ja.webp,True,localized_variant,"A tAEVYATL gen y —_ (ay: fe 7 | @O mmaysezR ( Ace SE ee | REDD: VAT RE RIL, ae @ EAL EN) + BEOPONY + AHN gam ee en fas \ Bthwemo tec rizr Case, G BECBERU, ~ FRODE ~—! MSAD CEA iar I-Yryhk RK Q ‘pr, , BECwRe BAA AO - SPO fs @ RA SS Car asa |"
agent-system-architecture-en.webp,True,444224,agent-system-architecture-en.webp,True,agent-system-architecture-en-ja.webp,False,localized_variant,"rs | Agent oystem Architecture: Not One Mode Goal, state, tools, memory, guardrails, and trace form the execution loop. eo | ‘| user goal AGENT CONTROL DESK | at is ; ¢ | — i —— ee Ors (@) LL] 3 inspection achieve? —0 )>—_-F)—_ gates protec"
agent-system-architecture-ja.webp,True,379900,agent-system-architecture-ja-en.webp,False,agent-system-architecture-ja.webp,True,localized_variant,"@ Agent LATA EFI BAB AR AG. Tool. 2248. W-EL-v, Trace o£ 47-7 EES, 1-7-8 | RATER LTENTS M FH : 107RKA ] HAR: 23038 } ates a8)"" ff @Planner } [@Lem #48 , EP@e rie pee | | Oko -F © Tool /API | witcten7/ ecm | puns “ohh L == id [ 2 = c= v faa "
agent-tool-trace-en.webp,True,253016,agent-tool-trace-en.webp,True,agent-tool-trace-en-ja.webp,False,localized_variant,"Oo .@, Agent Tool Trace ome Plan — Tool — Observation — Reply ° u 1) ~ Plan &) Trace Log A ome Understand the goal and > decide the next step. © Thought | need up-to-date information. | should J search the web. 2) Choose Tool @ Action Cy Se"
agent-tool-trace-ja.webp,True,238526,agent-tool-trace-ja-en.webp,False,agent-tool-trace-ja.webp,True,localized_variant,"RY 7 Agent TRERUiL Trace HH > BR- RO - BR BH HFS w tai @ itmx= MeTNey © AN 1-Y-oBRERET BETS Y >) RO-E errs Y-NEES Agent _] 2) Y—JLER @ BRI) Web DE+a XY hEBRTS QBS EBS HEY—)L AHR RRETS 3 { a4 Rees “tool_name"": ""SearchTool"", AD (3180 “query”:"
agent-vs-chatbot-comparison-en.webp,True,214682,agent-vs-chatbot-comparison-en.webp,True,agent-vs-chatbot-comparison-en-ja.webp,False,localized_variant,Normal Chatbot What is the capital of Japan? The capital of > > Japan is Tokyo. Question Responds directly Answer with an answer. More than chat Al Agent of Goal (G} Plan a 3-day trip to Kyoto within a $600 budget. ve F ® Plan Break the goa
agent-vs-chatbot-comparison-ja.webp,True,226168,agent-vs-chatbot-comparison-ja-en.webp,False,agent-vs-chatbot-comparison-ja.webp,True,localized_variant,"x 4 ~Chatbot & Agent o#u Chatbot (4423. Agent Isi€HS. he Chatbot eae aca @ Gi 2 (+e*} Be ~\Agent apogs| Qe (ge v E ‘@ acta "" A =) mee Agent lé77HLT. | gz A 5 Tt PGRECEDS ih LL"
